	X153	X124	X109	X151	X120	X112	X110	X179	X113	X189	X186	X166	X128	X101	X172	X181	X105	X108	X106	X126	X102	X160	X115	X175	X180	X103	X183	X111	X170	X173	X118	X163	X182	X176	X164	X114	X169	X171	X174	X184	X162	X149	X185	X127	X178	X165	X107	X161	X168	X177	X117	X167	X116	X190	X104	X100	X122	X125
X153	0.0	0.00201286857214	0.000530790221269	0.00299833761798	0.0445970669585	0.0458794048308	0.171397310938	0.0462395473331	0.192353942368	0.0014168524827	0.00316944280174	0.00521709039757	0.0797319532835	0.0943071708104	0.0472706884146	0.0466075915758	0.00222951165855	0.000382491479145	0.000407144700494	0.151814659945	0.188852818767	0.000375767273636	0.00255736358041	0.0465514607064	0.0458599043801	0.149065414779	0.0466663466144	0.0466715073629	0.0462471783383	0.0450163617768	0.00149064398045	0.0466845253109	0.0478999771221	0.0128199816097	0.00301643433458	0.0475328019741	0.000525224620405	0.0368611406781	0.00298777255665	0.00449716799827	0.000876499671373	0.00300256014026	0.0193723679584	0.18954345879	0.00303075815441	0.18191832902	0.000736364720792	0.00519153831807	0.180505432865	0.00410352838014	0.000814784262322	0.193167424287	0.00310140666411	0.0117121918159	0.193050933742	0.0458025002071	0.0334624608393	0.000585225605621
X124	0.00201286857214	0.0	0.00203787286924	0.00453200191196	0.044988174036	0.045207113782	0.171021848865	0.0466306544106	0.191938059057	0.00180297263885	0.00456133681287	0.00483290293255	0.0793566231309	0.0938174722606	0.0476072709688	0.0468977339015	0.00273166369119	0.00196683880597	0.00183528403735	0.151927666656	0.188363120217	0.00204450333211	0.00248456056111	0.0469424762766	0.0462509199502	0.148670984059	0.0462504633031	0.0470626144403	0.0466382854158	0.0451293684878	0.00215006913994	0.0470676321206	0.0481421648958	0.0120667057049	0.00456808970106	0.0471477455223	0.00192748114679	0.037112314574	0.00456050183056	0.00497826204825	0.0020030668833	0.00456924602347	0.0189142982936	0.189167996717	0.00450942079848	0.181502445708	0.00165594546534	0.00564954081801	0.180129970792	0.00500794968506	0.00164045634586	0.192791962214	0.00449004335789	0.0112544831696	0.192665622087	0.0461936072846	0.0338452999299	0.00198193266707
X109	0.000530790221269	0.00203787286924	0.0	0.0031602011458	0.0446160610779	0.0459140223086	0.171372465341	0.0462561930648	0.192346857907	0.00144349378074	0.00323995463577	0.00521609944665	0.079705734768	0.0942809208729	0.0472566077018	0.0465867777658	0.00217150854211	0.000551595288626	0.00056979033549	0.151795494469	0.188852818767	0.000558235997431	0.0025496259824	0.0465695302725	0.0458788984995	0.149058330318	0.046620261467	0.0466919058226	0.0462661724577	0.0449915161798	0.00151689869338	0.0466945946091	0.0478765534534	0.0128258502194	0.00315287074395	0.047504203649	0.00057502905144	0.0368383403536	0.00311502385986	0.00458226050089	0.000870644098887	0.00316493382198	0.0193480781235	0.189538733056	0.00316939289123	0.181897589148	0.000824558606518	0.00518445385652	0.180505432865	0.00411917707071	0.000895417542357	0.193149670587	0.00316766198746	0.0117161130926	0.193030193871	0.0458228986668	0.0334814549586	0.0007072820315
X151	0.00299833761798	0.00453200191196	0.0031602011458	0.0	0.0446048690978	0.0459028303285	0.171397310938	0.0462931271319	0.192353942369	0.00397353573865	0.000657324085802	0.00776442300491	0.0797681876857	0.0943071708106	0.0472706884148	0.046607591576	0.00487427780362	0.00299524033362	0.00294462423808	0.151814659945	0.188926357016	0.00284101806971	0.00507314324792	0.0465592628457	0.0458677065193	0.149129364189	0.0466663466146	0.0466793095021	0.0462549804775	0.0453223572953	0.00408790123043	0.0466865358569	0.0479037474384	0.0103432678263	0.000347184539782	0.0475396116027	0.00308815871113	0.0368611406783	0.000221493030049	0.00185376034841	0.00353734994322	0.000209256814337	0.0170284891666	0.18954345879	0.000192572227559	0.182039116724	0.00336714148341	0.0026507477811	0.180694065749	0.00153849884984	0.00330796414938	0.193167424287	0.000434578299021	0.00918955207298	0.193056176812	0.0458103023463	0.0334702629785	0.00296193857624
X120	0.0445970669585	0.044988174036	0.0446160610779	0.0446048690978	0.0	0.038607647151	0.165484409699	0.0244244192491	0.191904789225	0.0451357553322	0.0445235178822	0.0480231356137	0.056948030252	0.075903100555	0.0251652566522	0.0240351583336	0.046105445221	0.0446200044447	0.0446658715205	0.151774451355	0.189795881834	0.0445970669585	0.0454025051476	0.0215531995988	0.0206533340721	0.149393171655	0.0250491002157	0.0235478707885	0.0223791402608	0.0264085420576	0.0434566944411	0.0212827250412	0.0282415538982	0.0513975232441	0.0445970669587	0.025480862171	0.0445963072081	0.0358839554352	0.0445598701391	0.0457849897444	0.0441370824933	0.0445877951654	0.0569106812797	0.189529979724	0.0444919448436	0.182714930648	0.0447931269845	0.0458640099719	0.183021583441	0.0453552011881	0.044960560603	0.192965943436	0.0446035972124	0.0512073935197	0.192974550584	0.0167503886525	0.0198691932841	0.0446497392092
X112	0.0458794048308	0.045207113782	0.0459140223086	0.0459028303285	0.038607647151	0.0	0.166031326701	0.0380525561465	0.191877716245	0.046433716563	0.045826600355	0.0493210968444	0.0718301183656	0.0851554678166	0.0386440204749	0.0385622697611	0.0474034064517	0.0458757111175	0.0459638327512	0.151774451355	0.189896295619	0.0458950281893	0.0466983933614	0.0382859396335	0.0382270834008	0.149499001951	0.0399836004441	0.0378684200026	0.037529408093	0.0415002643827	0.0445839842879	0.0382868637602	0.0407095720056	0.0524361349087	0.0458950281895	0.0390601309963	0.0458890879347	0.045738526364	0.0458578313698	0.0470829509751	0.0453728747001	0.0458950281895	0.0582086425104	0.189535990523	0.0457899060743	0.182947461499	0.0460450794357	0.0471609519019	0.18350895478	0.0466531624188	0.0462585218337	0.193071702885	0.0458961383198	0.0525053547505	0.193031235983	0.0386513834053	0.0383053489213	0.0459477004399
X110	0.171397310938	0.171021848865	0.171372465341	0.171397310938	0.165484409699	0.166031326701	0.0	0.166117962761	0.0678558564829	0.170744458733	0.171330369761	0.169649062074	0.122234687001	0.165526501076	0.165610762251	0.165879048093	0.169949270588	0.171397310938	0.171306513103	0.187475133797	0.0269882669762	0.171397310938	0.169637045675	0.165912832048	0.165706180511	0.174467564146	0.163736453792	0.165980660776	0.165510790432	0.165668260393	0.170209254795	0.165656210354	0.166885325024	0.169286275459	0.171397310938	0.165158396647	0.171380482963	0.1709099749	0.171360114119	0.170962435057	0.170764898828	0.171397310938	0.162695562101	0.0304479780502	0.171292188823	0.0201998403642	0.170966433375	0.171387002324	0.02071117192	0.171397310938	0.17104835771	0.0339095523809	0.171335841215	0.167081356835	0.0301199864232	0.165895716724	0.16593573576	0.171397310938
X179	0.0462395473331	0.0466306544106	0.0462561930648	0.0462931271319	0.0244244192491	0.0380525561465	0.166117962761	0.0	0.191849092155	0.0467782357068	0.0462168971584	0.0496656159882	0.0509036318131	0.0723607855155	0.00680609086564	0.00675038651238	0.0477479255955	0.0462624848193	0.0463083518951	0.151770369265	0.189232244239	0.0462395473331	0.0470428774909	0.00665588385445	0.00741382720415	0.148867189032	0.0119256428548	0.00405084711091	0.00667863640854	0.0155506324714	0.0448908904118	0.00705270786059	0.0179836133293	0.0531139442848	0.0462853249928	0.00665330066301	0.0462429467899	0.045339100941	0.0462418055382	0.0474695144832	0.0457262725426	0.0462853249928	0.0585893229846	0.189537836382	0.0461802028777	0.182065178745	0.0463919269386	0.0475512487053	0.182457945845	0.0470434592221	0.0466030409775	0.193068214293	0.0462864351231	0.0528956515538	0.192958324842	0.0161775322683	0.0223173178547	0.0462922195837
X113	0.192353942368	0.191938059057	0.192346857907	0.192353942369	0.191904789225	0.191877716245	0.0678558564829	0.191849092155	0.0	0.191631583116	0.192320162941	0.190395173253	0.154667300187	0.191347837016	0.191804040666	0.191772868972	0.190434895825	0.192350630101	0.1922624314	0.193397305807	0.0501881433884	0.192350465714	0.190458568574	0.191821992619	0.191821992619	0.182952137754	0.189684200654	0.191877716244	0.191843491936	0.191760979871	0.191849092154	0.191849456409	0.191982178669	0.189768621477	0.192353942369	0.191149512225	0.192353942368	0.192121406048	0.192316745549	0.19176763279	0.191729605917	0.192353942369	0.182647697355	0.0635980193894	0.192248820254	0.0556522772636	0.19197079893	0.192267513155	0.0564016373187	0.192277354932	0.191967421773	0.0498078134385	0.192213747019	0.187508074817	0.0488938486703	0.19191765153	0.191889608784	0.192295071948
X189	0.0014168524827	0.00180297263885	0.00144349378074	0.00397353573865	0.0451357553322	0.046433716563	0.170744458733	0.0467782357068	0.191631583116	0.0	0.00404072443656	0.00455118236326	0.0790741054513	0.0938561398868	0.0477094365222	0.0469837468137	0.00208726798871	0.00138825606551	0.00132361834947	0.151896035312	0.188194839014	0.00142827082103	0.00189174616251	0.0470901490801	0.0463985927538	0.148344590564	0.0459467984779	0.0472101957366	0.046785866712	0.0450964610648	0.00219220622191	0.0472152134168	0.0483242300171	0.0122987604864	0.00398107672616	0.0469306435765	0.00140567533342	0.0369371507822	0.00397411784924	0.00437001687037	0.00156546997023	0.00398098756345	0.0188961294242	0.188837920006	0.00397263003993	0.181198780883	0.00109951379247	0.00530407698202	0.179847453112	0.00437545848096	0.00107931759274	0.192529882722	0.00389934907667	0.0111928765937	0.192331385605	0.0463411885808	0.034001149213	0.00138312023518
