Day.Time,Temp.C,,
00:00.0,28.345,Serial Number:     905384,Series: Temperature (*C)
15:00.0,28.444,,
30:00.0,28.419,Series,Temperature (*C)
45:00.0,28.419,Logger Info,Information specific to the logger
00:00.0,28.394,Model,HOBO Water Temp Pro [H20-001]
15:00.0,28.32,Serial Number,905384
30:00.0,28.32,Memory Size (Bytes),32768
45:00.0,28.444,Deployment,8
00:00.0,28.444,Series Info,Information about the data in the series
15:00.0,28.444,Points Used,21580
30:00.0,28.468,First Point,00:00.0
45:00.0,28.468,Last Point,45:00.0
00:00.0,28.345,Duration,224 Days 18:45:00.0
15:00.0,28.27,Stats,Calculated from the series
30:00.0,28.221,Wrap Count,0
45:00.0,28.27,Max Value,30.85
00:00.0,28.295,Min Value,26.6
15:00.0,28.27,Avg Value,28.48
30:00.0,28.196,Launch Parameters,
45:00.0,28.171,Load Time,01/19/2007 04:29:39 GMT   01/18/2007 20:29:39 Local
00:00.0,28.171,Launch Time,01/19/2007 04:29:41 GMT   01/18/2007 20:29:41 Local
15:00.0,28.171,Logging Time,01/19/2007 20:00:00 GMT   01/19/2007 12:00:00 Local
30:00.0,28.147,Sampling Interval,900
45:00.0,28.147,Wrap,0 = (FALSE/OFF/OPEN/TYPE 0)
00:00.0,28.147,Stealth Enable,0 = (FALSE/OFF/OPEN/TYPE 0)
15:00.0,28.122,End of Data,0x8000_04
30:00.0,28.122,Wrap Count,0
45:00.0,28.122,Description String,Tile Site 2
00:00.0,28.097,Time Zone,GMT-480 Minutes TZ set on Launch
15:00.0,28.097,,
30:00.0,28.097,,
45:00.0,28.097,,
00:00.0,28.097,,
15:00.0,28.097,,
30:00.0,28.072,,
45:00.0,28.072,,
00:00.0,28.048,,
15:00.0,28.048,,
30:00.0,28.072,,
45:00.0,28.072,,
00:00.0,28.072,,
15:00.0,28.097,,
30:00.0,28.072,,
45:00.0,28.072,,
00:00.0,28.097,,
15:00.0,28.122,,
30:00.0,28.122,,
45:00.0,28.122,,
00:00.0,28.097,,
15:00.0,28.097,,
30:00.0,28.072,,
45:00.0,28.072,,
00:00.0,28.072,,
15:00.0,28.072,,
30:00.0,28.072,,
45:00.0,28.072,,
00:00.0,28.097,,
15:00.0,28.097,,
30:00.0,28.072,,
45:00.0,28.072,,
00:00.0,28.072,,
15:00.0,28.072,,
30:00.0,28.072,,
45:00.0,28.072,,
00:00.0,28.048,,
15:00.0,28.048,,
30:00.0,28.048,,
45:00.0,28.048,,
00:00.0,28.048,,
15:00.0,28.048,,
30:00.0,28.048,,
45:00.0,28.048,,
00:00.0,28.072,,
15:00.0,28.072,,
30:00.0,28.072,,
45:00.0,28.097,,
00:00.0,28.097,,
15:00.0,28.097,,
30:00.0,28.097,,
45:00.0,28.122,,
00:00.0,28.147,,
15:00.0,28.122,,
30:00.0,28.147,,
45:00.0,28.171,,
00:00.0,28.171,,
15:00.0,28.171,,
30:00.0,28.171,,
45:00.0,28.171,,
00:00.0,28.221,,
15:00.0,28.221,,
30:00.0,28.196,,
45:00.0,28.221,,
00:00.0,28.171,,
15:00.0,28.245,,
30:00.0,28.394,,
45:00.0,28.419,,
00:00.0,28.345,,
15:00.0,28.295,,
30:00.0,28.245,,
45:00.0,28.196,,
00:00.0,28.171,,
15:00.0,28.245,,
30:00.0,28.221,,
45:00.0,28.196,,
00:00.0,28.221,,
15:00.0,28.221,,
30:00.0,28.196,,
45:00.0,28.295,,
00:00.0,28.27,,
15:00.0,28.171,,
30:00.0,28.171,,
45:00.0,28.147,,
00:00.0,28.122,,
15:00.0,28.171,,
30:00.0,28.122,,
45:00.0,28.097,,
00:00.0,28.097,,
15:00.0,28.072,,
30:00.0,28.048,,
45:00.0,28.048,,
00:00.0,28.023,,
15:00.0,28.023,,
30:00.0,28.023,,
45:00.0,28.023,,
00:00.0,27.998,,
15:00.0,27.998,,
30:00.0,27.998,,
45:00.0,27.974,,
00:00.0,27.974,,
15:00.0,27.974,,
30:00.0,27.974,,
45:00.0,27.974,,
00:00.0,27.974,,
15:00.0,27.949,,
