#SampleID	DNA.ID	Species	Date	Location 	Site 	Collected by
100	209100	Acropora	17-Feb-09	Moorea French Polynesia	 Site 3	H Putnam
101	209101	Acropora	17-Feb-09	Moorea French Polynesia	 Site 3	H Putnam
102	209102	Acropora	17-Feb-09	Moorea French Polynesia	 Site 3	H Putnam
103	209103	Acropora	17-Feb-09	Moorea French Polynesia	 Site 3	H Putnam
104	209104	Acropora	17-Feb-09	Moorea French Polynesia	 Site 3	H Putnam
105	209105	Porties	17-Feb-09	Moorea French Polynesia	 Site 3	H Putnam
106	209106	Porties	17-Feb-09	Moorea French Polynesia	 Site 3	H Putnam
107	209107	Porties	17-Feb-09	Moorea French Polynesia	 Site 3	H Putnam
108	209108	Porties	17-Feb-09	Moorea French Polynesia	 Site 3	H Putnam
109	209109	Porties	17-Feb-09	Moorea French Polynesia	 Site 3	H Putnam
110	209110	Acropora	17-Feb-09	Moorea French Polynesia	 Site 2	H Putnam
111	209111	Acropora	17-Feb-09	Moorea French Polynesia	 Site 2	H Putnam
112	209112	Acropora	17-Feb-09	Moorea French Polynesia	 Site 2	H Putnam
113	209113	Acropora	17-Feb-09	Moorea French Polynesia	 Site 2	H Putnam
114	209114	Acropora	17-Feb-09	Moorea French Polynesia	 Site 2	H Putnam
115	209115	Porties	17-Feb-09	Moorea French Polynesia	 Site 2	H Putnam
116	209116	Porties	17-Feb-09	Moorea French Polynesia	 Site 2	H Putnam
117	209117	Porties	17-Feb-09	Moorea French Polynesia	 Site 2	H Putnam
118	209118	Porties	17-Feb-09	Moorea French Polynesia	 Site 2	H Putnam
120	209120	Acropora	17-Feb-09	Moorea French Polynesia	 Site 1	H Putnam
122	209122	Porties	17-Feb-09	Moorea French Polynesia	 Site 1	H Putnam
124	209124	Porties	17-Feb-09	Moorea French Polynesia	 Site 1	H Putnam
125	209125	Porties	17-Feb-09	Moorea French Polynesia	 Site 1	H Putnam
126	209126	Acropora	17-Feb-09	Moorea French Polynesia	 Site 1	H Putnam
127	209127	Acropora	17-Feb-09	Moorea French Polynesia	 Site 1	H Putnam
128	209128	Acropora	17-Feb-09	Moorea French Polynesia	 Site 1	H Putnam
149	209149	Porties	17-Feb-09	Moorea French Polynesia	 Site 2	H Putnam
151	209151	Porties	17-Feb-09	Moorea French Polynesia	 Site 1	H Putnam
153	209153	Porties	17-Feb-09	Moorea French Polynesia	 Site 1	H Putnam
160	209160	Porties	20-Feb-09	Moorea French Polynesia	 Site 9	H Putnam
161	209161	Porties	20-Feb-09	Moorea French Polynesia	 Site 9	H Putnam
162	209162	Porties	20-Feb-09	Moorea French Polynesia	 Site 9	H Putnam
163	209163	Acropora	20-Feb-09	Moorea French Polynesia	 Site 9	H Putnam
164	209164	Porties	20-Feb-09	Moorea French Polynesia	 Site 9	H Putnam
165	209165	Acropora	20-Feb-09	Moorea French Polynesia	 Site 9	H Putnam
166	209166	Porties	20-Feb-09	Moorea French Polynesia	 Site 9	H Putnam
167	209167	Acropora	20-Feb-09	Moorea French Polynesia	 Site 9	H Putnam
168	209168	Acropora	20-Feb-09	Moorea French Polynesia	 Site 9	H Putnam
169	209169	Porties	20-Feb-09	Moorea French Polynesia	 Site 8	H Putnam
170	209170	Acropora	20-Feb-09	Moorea French Polynesia	 Site 8	H Putnam
171	209171	Acropora	20-Feb-09	Moorea French Polynesia	 Site 8	H Putnam
172	209172	Acropora	20-Feb-09	Moorea French Polynesia	 Site 8	H Putnam
173	209173	Acropora	20-Feb-09	Moorea French Polynesia	 Site 8	H Putnam
174	209174	Porties	20-Feb-09	Moorea French Polynesia	 Site 8	H Putnam
175	209175	Acropora	20-Feb-09	Moorea French Polynesia	 Site 8	H Putnam
176	209176	Porties	20-Feb-09	Moorea French Polynesia	 Site 8	H Putnam
177	209177	Porties	20-Feb-09	Moorea French Polynesia	 Site 8	H Putnam
178	209178	Porties	20-Feb-09	Moorea French Polynesia	 Site 8	H Putnam
179	209179	Acropora	20-Feb-09	Moorea French Polynesia	 Site 7	H Putnam
180	209180	Acropora	20-Feb-09	Moorea French Polynesia	 Site 7	H Putnam
181	209181	Acropora	20-Feb-09	Moorea French Polynesia	 Site 7	H Putnam
182	209182	Acropora	20-Feb-09	Moorea French Polynesia	 Site 7	H Putnam
183	209183	Acropora	20-Feb-09	Moorea French Polynesia	 Site 7	H Putnam
184	209184	Porties	20-Feb-09	Moorea French Polynesia	 Site 7	H Putnam
185	209185	Porties	20-Feb-09	Moorea French Polynesia	 Site 7	H Putnam
186	209186	Porties	20-Feb-09	Moorea French Polynesia	 Site 7	H Putnam
189	209189	Porties	20-Feb-09	Moorea French Polynesia	 Site 7	H Putnam
190	209190	Porties	20-Feb-09	Moorea French Polynesia	 Site 7	H Putnam
