Day.Time,Temp.C,,
00:00.0,30.469,Serial Number:     905379,Series: Temperature (*C)
10:00.0,30.95,,
20:00.0,30.773,Series,Temperature (*C)
30:00.0,30.041,Logger Info,Information specific to the logger
40:00.0,27.677,Model,HOBO Water Temp Pro [H20-001]
50:00.0,27.677,Serial Number,905379
00:00.0,27.235,Memory Size (Bytes),32768
10:00.0,27.235,Deployment,9
20:00.0,27.038,Series Info,Information about the data in the series
30:00.0,26.916,Points Used,21225
40:00.0,26.989,First Point,00:00.0
50:00.0,26.965,Last Point,20:00.0
00:00.0,27.038,Duration,147 Days 09:20:00.0
10:00.0,26.94,Stats,Calculated from the series
20:00.0,26.965,Wrap Count,0
30:00.0,26.916,Max Value,30.95
40:00.0,26.891,Min Value,24.85
50:00.0,26.842,Avg Value,27.58
00:00.0,26.818,Launch Parameters,
10:00.0,26.867,Load Time,08/23/2006 00:08:43 GMT   08/22/2006 16:08:43 Local
20:00.0,26.867,Launch Time,08/23/2006 00:08:45 GMT   08/22/2006 16:08:45 Local
30:00.0,26.891,Logging Time,08/23/2006 19:00:00 GMT   08/23/2006 11:00:00 Local
40:00.0,26.989,Sampling Interval,600
50:00.0,27.136,Wrap,0 = (FALSE/OFF/OPEN/TYPE 0)
00:00.0,27.284,Stealth Enable,1 = (TRUE/ON/CLOSED/TYPE 1)
10:00.0,27.259,End of Data,0x7DEB_04
20:00.0,27.308,Wrap Count,0
30:00.0,27.186,Description String,Tile 8
40:00.0,27.161,Time Zone,GMT-420 Minutes TZ set on Launch
50:00.0,27.161,,
00:00.0,27.21,,
10:00.0,27.186,,
20:00.0,27.087,,
30:00.0,27.112,,
40:00.0,27.063,,
50:00.0,27.038,,
00:00.0,27.038,,
10:00.0,26.989,,
20:00.0,26.965,,
30:00.0,26.891,,
40:00.0,26.842,,
50:00.0,26.818,,
00:00.0,26.769,,
10:00.0,26.744,,
20:00.0,26.695,,
30:00.0,26.671,,
40:00.0,26.622,,
50:00.0,26.598,,
00:00.0,26.549,,
10:00.0,26.524,,
20:00.0,26.475,,
30:00.0,26.451,,
40:00.0,26.402,,
50:00.0,26.378,,
00:00.0,26.353,,
10:00.0,26.304,,
20:00.0,26.28,,
30:00.0,26.304,,
40:00.0,26.329,,
50:00.0,26.329,,
00:00.0,26.304,,
10:00.0,26.304,,
20:00.0,26.304,,
30:00.0,26.304,,
40:00.0,26.28,,
50:00.0,26.28,,
00:00.0,26.28,,
10:00.0,26.256,,
20:00.0,26.256,,
30:00.0,26.28,,
40:00.0,26.304,,
50:00.0,26.304,,
00:00.0,26.353,,
10:00.0,26.353,,
20:00.0,26.353,,
30:00.0,26.353,,
40:00.0,26.353,,
50:00.0,26.353,,
00:00.0,26.353,,
10:00.0,26.353,,
20:00.0,26.353,,
30:00.0,26.353,,
40:00.0,26.353,,
50:00.0,26.378,,
00:00.0,26.378,,
10:00.0,26.378,,
20:00.0,26.378,,
30:00.0,26.353,,
40:00.0,26.353,,
50:00.0,26.353,,
00:00.0,26.329,,
10:00.0,26.329,,
20:00.0,26.329,,
30:00.0,26.304,,
40:00.0,26.304,,
50:00.0,26.304,,
00:00.0,26.28,,
10:00.0,26.28,,
20:00.0,26.28,,
30:00.0,26.28,,
40:00.0,26.28,,
50:00.0,26.28,,
00:00.0,26.28,,
10:00.0,26.28,,
20:00.0,26.256,,
30:00.0,26.256,,
40:00.0,26.231,,
50:00.0,26.231,,
00:00.0,26.231,,
10:00.0,26.207,,
20:00.0,26.207,,
30:00.0,26.207,,
40:00.0,26.207,,
50:00.0,26.182,,
00:00.0,26.182,,
10:00.0,26.182,,
20:00.0,26.158,,
30:00.0,26.158,,
40:00.0,26.158,,
50:00.0,26.134,,
00:00.0,26.134,,
10:00.0,26.134,,
20:00.0,26.109,,
30:00.0,26.109,,
40:00.0,26.085,,
50:00.0,26.085,,
00:00.0,26.109,,
10:00.0,26.109,,
20:00.0,26.134,,
30:00.0,26.158,,
40:00.0,26.207,,
50:00.0,26.256,,
00:00.0,26.329,,
10:00.0,26.426,,
20:00.0,26.671,,
30:00.0,26.671,,
40:00.0,26.842,,
50:00.0,26.842,,
00:00.0,27.063,,
10:00.0,27.112,,
20:00.0,27.186,,
30:00.0,27.21,,
40:00.0,27.235,,
50:00.0,27.259,,
00:00.0,27.284,,
10:00.0,27.333,,
20:00.0,27.333,,
30:00.0,27.382,,
40:00.0,27.407,,
50:00.0,27.407,,
00:00.0,27.431,,
10:00.0,27.431,,
20:00.0,27.481,,
30:00.0,27.456,,
40:00.0,27.431,,
50:00.0,27.431,,
00:00.0,27.456,,
10:00.0,27.456,,
20:00.0,27.431,,
30:00.0,27.456,,
40:00.0,27.481,,
50:00.0,27.431,,
00:00.0,27.358,,
10:00.0,27.382,,
20:00.0,27.382,,
30:00.0,27.333,,
40:00.0,27.284,,
50:00.0,27.284,,
00:00.0,27.235,,
10:00.0,27.235,,
20:00.0,27.235,,
30:00.0,27.186,,
40:00.0,27.161,,
50:00.0,27.161,,
00:00.0,27.112,,
10:00.0,27.087,,
20:00.0,27.063,,
30:00.0,27.014,,
40:00.0,26.94,,
50:00.0,26.916,,
00:00.0,26.891,,
10:00.0,26.867,,
20:00.0,26.842,,
30:00.0,26.818,,
40:00.0,26.793,,
50:00.0,26.769,,
00:00.0,26.72,,
10:00.0,26.72,,
20:00.0,26.671,,
30:00.0,26.671,,
40:00.0,26.671,,
50:00.0,26.695,,
00:00.0,26.72,,
10:00.0,26.695,,
20:00.0,26.695,,
30:00.0,26.671,,
40:00.0,26.671,,
50:00.0,26.646,,
00:00.0,26.598,,
10:00.0,26.573,,
20:00.0,26.573,,
30:00.0,26.549,,
40:00.0,26.549,,
50:00.0,26.549,,
00:00.0,26.549,,
10:00.0,26.549,,
20:00.0,26.549,,
