Day.Time,Temp.C,,
00:00.0,30.9,Serial Number:     905378,Series: Temperature (*C)
15:00.0,31.893,,
30:00.0,26.842,Series,Temperature (*C)
45:00.0,26.842,Logger Info,Information specific to the logger
00:00.0,27.333,Model,HOBO Water Temp Pro [H20-001]
15:00.0,27.186,Serial Number,905378
30:00.0,27.677,Memory Size (Bytes),32768
45:00.0,28.147,Deployment,13
00:00.0,28.122,Series Info,Information about the data in the series
15:00.0,27.407,Points Used,13580
30:00.0,28.171,First Point,00:00.0
45:00.0,28.345,Last Point,45:00.0
00:00.0,27.727,Duration,141 Days 10:45:00.0
15:00.0,27.677,Stats,Calculated from the series
30:00.0,27.604,Wrap Count,0
45:00.0,27.702,Max Value,37.12
00:00.0,27.628,Min Value,22.8
15:00.0,27.431,Avg Value,27.65
30:00.0,27.653,Launch Parameters,
45:00.0,27.702,Load Time,09/12/2007 02:10:12 GMT   09/11/2007 15:10:12 Local
00:00.0,27.677,Launch Time,09/12/2007 02:10:15 GMT   09/11/2007 15:10:15 Local
15:00.0,27.579,Logging Time,09/12/2007 18:00:00 GMT   09/12/2007 07:00:00 Local
30:00.0,27.53,Sampling Interval,900
45:00.0,27.259,Wrap,0 = (FALSE/OFF/OPEN/TYPE 0)
00:00.0,27.235,Stealth Enable,0 = (FALSE/OFF/OPEN/TYPE 0)
15:00.0,27.136,End of Data,0x5120_00
30:00.0,27.112,Wrap Count,0
45:00.0,27.112,Description String,Tile Site 9
00:00.0,27.186,Time Zone,GMT-480 Minutes TZ set on Launch
15:00.0,27.186,,
30:00.0,27.136,,
45:00.0,27.112,,
00:00.0,27.087,,
15:00.0,27.087,,
30:00.0,27.087,,
45:00.0,27.087,,
00:00.0,27.063,,
15:00.0,27.014,,
30:00.0,27.014,,
45:00.0,26.989,,
00:00.0,26.989,,
15:00.0,26.989,,
30:00.0,26.94,,
45:00.0,26.916,,
00:00.0,26.94,,
15:00.0,26.916,,
30:00.0,26.891,,
45:00.0,26.891,,
00:00.0,26.891,,
15:00.0,26.867,,
30:00.0,26.867,,
45:00.0,26.867,,
00:00.0,26.842,,
15:00.0,26.842,,
30:00.0,26.842,,
45:00.0,26.867,,
00:00.0,26.867,,
15:00.0,26.867,,
30:00.0,26.842,,
45:00.0,26.818,,
00:00.0,26.818,,
15:00.0,26.818,,
30:00.0,26.818,,
45:00.0,26.818,,
00:00.0,26.818,,
15:00.0,26.793,,
30:00.0,26.793,,
45:00.0,26.793,,
00:00.0,26.793,,
15:00.0,26.769,,
30:00.0,26.769,,
45:00.0,26.744,,
00:00.0,26.769,,
15:00.0,26.744,,
30:00.0,26.744,,
45:00.0,26.744,,
00:00.0,26.744,,
15:00.0,26.72,,
30:00.0,26.695,,
45:00.0,26.695,,
00:00.0,26.671,,
15:00.0,26.695,,
30:00.0,26.695,,
45:00.0,26.769,,
00:00.0,26.818,,
15:00.0,26.916,,
30:00.0,27.038,,
45:00.0,27.136,,
00:00.0,27.259,,
15:00.0,27.358,,
30:00.0,27.456,,
45:00.0,27.554,,
00:00.0,27.382,,
15:00.0,27.727,,
30:00.0,27.751,,
45:00.0,27.825,,
00:00.0,27.974,,
15:00.0,27.949,,
30:00.0,27.998,,
45:00.0,27.998,,
00:00.0,28.072,,
15:00.0,28.122,,
30:00.0,28.245,,
45:00.0,28.245,,
00:00.0,28.32,,
15:00.0,28.171,,
30:00.0,28.32,,
45:00.0,28.394,,
00:00.0,28.419,,
15:00.0,28.369,,
30:00.0,28.27,,
45:00.0,28.221,,
00:00.0,28.122,,
15:00.0,28.097,,
30:00.0,28.097,,
45:00.0,28.072,,
00:00.0,28.048,,
15:00.0,28.048,,
30:00.0,27.998,,
45:00.0,27.924,,
00:00.0,27.776,,
15:00.0,27.628,,
30:00.0,27.505,,
45:00.0,27.382,,
00:00.0,27.284,,
15:00.0,27.186,,
30:00.0,27.087,,
45:00.0,27.038,,
00:00.0,27.014,,
15:00.0,26.965,,
30:00.0,26.94,,
45:00.0,26.916,,
00:00.0,26.916,,
15:00.0,26.916,,
30:00.0,26.916,,
45:00.0,26.94,,
00:00.0,26.965,,
15:00.0,27.038,,
30:00.0,27.038,,
45:00.0,27.014,,
00:00.0,26.989,,
15:00.0,26.989,,
30:00.0,26.94,,
45:00.0,26.916,,
00:00.0,26.867,,
15:00.0,26.867,,
30:00.0,26.867,,
45:00.0,26.867,,
00:00.0,26.867,,
15:00.0,26.891,,
30:00.0,26.867,,
45:00.0,26.842,,
00:00.0,26.793,,
15:00.0,26.818,,
30:00.0,26.769,,
45:00.0,26.744,,
00:00.0,26.72,,
15:00.0,26.72,,
30:00.0,26.695,,
45:00.0,26.695,,
00:00.0,26.646,,
15:00.0,26.622,,
30:00.0,26.622,,
45:00.0,26.622,,
00:00.0,26.622,,
15:00.0,26.598,,
30:00.0,26.598,,
45:00.0,26.598,,
00:00.0,26.598,,
15:00.0,26.573,,
30:00.0,26.549,,
45:00.0,26.549,,
00:00.0,26.549,,
15:00.0,26.549,,
30:00.0,26.549,,
45:00.0,26.549,,
00:00.0,26.549,,
15:00.0,26.573,,
30:00.0,26.549,,
45:00.0,26.646,,
00:00.0,26.72,,
15:00.0,26.842,,
30:00.0,26.916,,
45:00.0,26.989,,
00:00.0,27.087,,
15:00.0,27.21,,
30:00.0,27.284,,
45:00.0,27.358,,
00:00.0,27.382,,
15:00.0,27.481,,
30:00.0,27.554,,
45:00.0,27.604,,
00:00.0,27.702,,
15:00.0,27.087,,
30:00.0,27.85,,
45:00.0,27.751,,
00:00.0,27.308,,
15:00.0,27.407,,
30:00.0,27.899,,
45:00.0,27.949,,
00:00.0,27.579,,
15:00.0,27.85,,
30:00.0,27.949,,
45:00.0,27.21,,
00:00.0,27.481,,
15:00.0,27.949,,
30:00.0,27.998,,
45:00.0,27.924,,
00:00.0,27.677,,
15:00.0,27.53,,
30:00.0,27.727,,
45:00.0,27.85,,
00:00.0,27.801,,
15:00.0,27.628,,
30:00.0,27.554,,
45:00.0,27.579,,
00:00.0,27.063,,
15:00.0,27.186,,
30:00.0,27.136,,
45:00.0,27.063,,
00:00.0,26.989,,
15:00.0,26.916,,
30:00.0,26.867,,
45:00.0,26.818,,
00:00.0,26.818,,
15:00.0,26.793,,
30:00.0,26.769,,
45:00.0,26.769,,
00:00.0,26.744,,
15:00.0,26.744,,
30:00.0,26.72,,
45:00.0,26.72,,
00:00.0,26.72,,
15:00.0,26.72,,
30:00.0,26.695,,
45:00.0,26.695,,
00:00.0,26.671,,
15:00.0,26.646,,
30:00.0,26.646,,
45:00.0,26.646,,
00:00.0,26.646,,
15:00.0,26.622,,
30:00.0,26.622,,
45:00.0,26.598,,
00:00.0,26.573,,
15:00.0,26.573,,
30:00.0,26.573,,
45:00.0,26.573,,
00:00.0,26.549,,
15:00.0,26.549,,
30:00.0,26.549,,
45:00.0,26.549,,
00:00.0,26.549,,
15:00.0,26.524,,
30:00.0,26.524,,
45:00.0,26.5,,
00:00.0,26.5,,
15:00.0,26.475,,
30:00.0,26.475,,
45:00.0,26.451,,
00:00.0,26.451,,
15:00.0,26.426,,
30:00.0,26.451,,
45:00.0,26.402,,
00:00.0,26.378,,
15:00.0,26.378,,
30:00.0,26.378,,
45:00.0,26.378,,
00:00.0,26.378,,
15:00.0,26.378,,
30:00.0,26.378,,
45:00.0,26.353,,
00:00.0,26.378,,
15:00.0,26.378,,
30:00.0,26.378,,
45:00.0,26.402,,
00:00.0,26.524,,
15:00.0,26.524,,
30:00.0,26.549,,
45:00.0,26.622,,
00:00.0,27.112,,
15:00.0,26.769,,
30:00.0,26.72,,
45:00.0,26.842,,
00:00.0,26.965,,
15:00.0,27.087,,
30:00.0,27.136,,
45:00.0,26.916,,
00:00.0,27.161,,
15:00.0,27.063,,
30:00.0,27.087,,
45:00.0,27.259,,
00:00.0,27.456,,
15:00.0,27.53,,
30:00.0,27.112,,
45:00.0,26.965,,
00:00.0,27.21,,
15:00.0,27.112,,
30:00.0,27.21,,
45:00.0,27.998,,
00:00.0,27.21,,
15:00.0,27.186,,
30:00.0,27.628,,
45:00.0,27.161,,
00:00.0,27.112,,
15:00.0,27.801,,
30:00.0,27.161,,
45:00.0,27.505,,
00:00.0,27.063,,
15:00.0,27.087,,
30:00.0,27.014,,
45:00.0,26.989,,
00:00.0,27.259,,
15:00.0,27.186,,
30:00.0,27.161,,
45:00.0,26.965,,
00:00.0,26.916,,
15:00.0,26.867,,
30:00.0,26.769,,
45:00.0,26.744,,
00:00.0,26.695,,
15:00.0,26.671,,
30:00.0,26.671,,
45:00.0,26.646,,
