Date Time,Site 1,Site 2,Site 3,Site 7,Site 8,Site 9
01/29/06 18:00:00.0,28.617,28.593,28.617,28.444,28.642,28.593
01/29/06 18:10:00.0,28.642,28.593,28.617,28.394,28.617,28.568
01/29/06 18:20:00.0,28.642,28.568,28.593,28.369,28.568,28.518
01/29/06 18:30:00.0,28.642,28.568,28.593,28.32,28.543,28.493
01/29/06 18:40:00.0,28.617,28.568,28.593,28.32,28.518,28.468
01/29/06 18:50:00.0,28.617,28.568,28.568,28.27,28.468,28.444
01/29/06 19:00:00.0,28.617,28.568,28.568,28.245,28.419,28.394
01/29/06 19:10:00.0,28.617,28.568,28.568,28.221,28.394,28.369
01/29/06 19:20:00.0,28.617,28.568,28.568,28.196,28.32,28.345
01/29/06 19:30:00.0,28.617,28.568,28.568,28.171,28.27,28.32
01/29/06 19:40:00.0,28.593,28.568,28.568,28.147,28.221,28.295
01/29/06 19:50:00.0,28.593,28.568,28.568,28.122,28.171,28.27
01/29/06 20:00:00.0,28.593,28.568,28.568,28.122,28.122,28.245
01/29/06 20:10:00.0,28.593,28.568,28.593,28.097,28.097,28.221
01/29/06 20:20:00.0,28.593,28.568,28.568,28.072,28.072,28.221
01/29/06 20:30:00.0,28.593,28.568,28.568,28.072,28.048,28.196
01/29/06 20:40:00.0,28.593,28.568,28.593,28.072,28.023,28.196
01/29/06 20:50:00.0,28.593,28.568,28.593,28.097,27.998,28.171
01/29/06 21:00:00.0,28.593,28.568,28.593,28.122,27.998,28.171
01/29/06 21:10:00.0,28.593,28.568,28.593,28.171,27.974,28.147
01/29/06 21:20:00.0,28.568,28.593,28.593,28.196,27.974,28.122
01/29/06 21:30:00.0,28.568,28.617,28.593,28.221,27.974,28.097
01/29/06 21:40:00.0,28.568,28.617,28.617,28.245,27.998,28.122
01/29/06 21:50:00.0,28.568,28.617,28.617,28.295,28.023,28.171
01/29/06 22:00:00.0,28.543,28.642,28.617,28.32,28.097,28.245
01/29/06 22:10:00.0,28.543,28.593,28.617,28.345,28.122,28.295
01/29/06 22:20:00.0,28.543,28.568,28.617,28.369,28.171,28.345
01/29/06 22:30:00.0,28.543,28.568,28.642,28.394,28.221,28.394
01/29/06 22:40:00.0,28.543,28.568,28.642,28.419,28.245,28.419
01/29/06 22:50:00.0,28.543,28.593,28.642,28.419,28.295,28.444
01/29/06 23:00:00.0,28.543,28.593,28.667,28.444,28.32,28.468
01/29/06 23:10:00.0,28.543,28.617,28.692,28.468,28.345,28.493
01/29/06 23:20:00.0,28.543,28.642,28.692,28.493,28.369,28.493
01/29/06 23:30:00.0,28.543,28.617,28.692,28.493,28.394,28.518
01/29/06 23:40:00.0,28.543,28.617,28.692,28.493,28.419,28.518
01/29/06 23:50:00.0,28.543,28.593,28.692,28.493,28.419,28.518
01/30/06 00:00:00.0,28.543,28.617,28.667,28.493,28.419,28.518
01/30/06 00:10:00.0,28.518,28.617,28.667,28.493,28.419,28.518
01/30/06 00:20:00.0,28.543,28.617,28.692,28.493,28.419,28.493
01/30/06 00:30:00.0,28.543,28.617,28.692,28.493,28.419,28.493
01/30/06 00:40:00.0,28.518,28.617,28.692,28.493,28.419,28.493
01/30/06 00:50:00.0,28.543,28.642,28.692,28.493,28.394,28.493
01/30/06 01:00:00.0,28.543,28.642,28.692,28.518,28.394,28.468
01/30/06 01:10:00.0,28.543,28.617,28.692,28.493,28.394,28.493
01/30/06 01:20:00.0,28.518,28.642,28.692,28.518,28.419,28.493
01/30/06 01:30:00.0,28.518,28.642,28.692,28.518,28.419,28.493
01/30/06 01:40:00.0,28.543,28.642,28.692,28.493,28.419,28.493
01/30/06 01:50:00.0,28.543,28.642,28.692,28.493,28.419,28.493
01/30/06 02:00:00.0,28.543,28.642,28.692,28.468,28.444,28.493
01/30/06 02:10:00.0,28.543,28.642,28.692,28.444,28.444,28.493
01/30/06 02:20:00.0,28.543,28.642,28.667,28.444,28.444,28.493
01/30/06 02:30:00.0,28.543,28.667,28.692,28.444,28.444,28.493
01/30/06 02:40:00.0,28.543,28.667,28.692,28.444,28.419,28.493
01/30/06 02:50:00.0,28.543,28.667,28.692,28.444,28.419,28.468
01/30/06 03:00:00.0,28.518,28.642,28.692,28.444,28.419,28.468
01/30/06 03:10:00.0,28.518,28.642,28.692,28.444,28.419,28.468
01/30/06 03:20:00.0,28.518,28.642,28.667,28.444,28.394,28.468
01/30/06 03:30:00.0,28.518,28.642,28.667,28.444,28.394,28.444
01/30/06 03:40:00.0,28.518,28.642,28.667,28.444,28.394,28.444
01/30/06 03:50:00.0,28.518,28.642,28.667,28.444,28.394,28.444
01/30/06 04:00:00.0,28.518,28.667,28.667,28.444,28.369,28.444
01/30/06 04:10:00.0,28.518,28.667,28.642,28.419,28.369,28.444
01/30/06 04:20:00.0,28.518,28.667,28.642,28.419,28.345,28.419
01/30/06 04:30:00.0,28.518,28.667,28.667,28.419,28.345,28.419
01/30/06 04:40:00.0,28.518,28.667,28.667,28.419,28.345,28.419
01/30/06 04:50:00.0,28.518,28.667,28.667,28.419,28.32,28.419
01/30/06 05:00:00.0,28.468,28.617,28.617,28.394,28.32,28.419
01/30/06 05:10:00.0,28.419,28.593,28.617,28.345,28.295,28.394
01/30/06 05:20:00.0,28.394,28.593,28.593,28.32,28.27,28.369
01/30/06 05:30:00.0,28.369,28.568,28.568,28.295,28.221,28.345
01/30/06 05:40:00.0,28.345,28.543,28.543,28.245,28.196,28.32
01/30/06 05:50:00.0,28.345,28.568,28.543,28.221,28.171,28.295
01/30/06 06:00:00.0,28.345,28.568,28.543,28.196,28.147,28.27
01/30/06 06:10:00.0,28.394,28.593,28.568,28.171,28.122,28.245
01/30/06 06:20:00.0,28.419,28.593,28.568,28.147,28.097,28.221
01/30/06 06:30:00.0,28.468,28.617,28.493,28.122,28.072,28.196
01/30/06 06:40:00.0,28.493,28.568,28.468,28.097,28.048,28.171
