Day.Time,Temp.C,,
00:00.0,28.617,Serial Number:     905379,Series: Temperature (*C)
10:00.0,28.642,,
20:00.0,28.642,Series,Temperature (*C)
30:00.0,28.642,Logger Info,Information specific to the logger
40:00.0,28.617,Model,HOBO Water Temp Pro [H20-001]
50:00.0,28.617,Serial Number,905379
00:00.0,28.617,Memory Size (Bytes),32768
10:00.0,28.617,Deployment,8
20:00.0,28.617,Series Info,Information about the data in the series
30:00.0,28.617,Points Used,21580
40:00.0,28.593,First Point,00:00.0
50:00.0,28.593,Last Point,30:00.0
00:00.0,28.593,Duration,149 Days 20:30:00.0
10:00.0,28.593,Stats,Calculated from the series
20:00.0,28.593,Wrap Count,0
30:00.0,28.593,Max Value,30.72
40:00.0,28.593,Min Value,27.21
50:00.0,28.593,Avg Value,28.97
00:00.0,28.593,Launch Parameters,
10:00.0,28.593,Load Time,01/29/2006 07:51:49 GMT   01/28/2006 23:51:49 Local
20:00.0,28.568,Launch Time,01/29/2006 07:51:51 GMT   01/28/2006 23:51:51 Local
30:00.0,28.568,Logging Time,01/30/2006 04:00:00 GMT   01/29/2006 20:00:00 Local
40:00.0,28.568,Sampling Interval,600
50:00.0,28.568,Wrap,0 = (FALSE/OFF/OPEN/TYPE 0)
00:00.0,28.543,Stealth Enable,0 = (FALSE/OFF/OPEN/TYPE 0)
10:00.0,28.543,End of Data,0x8000_00
20:00.0,28.543,Wrap Count,0
30:00.0,28.543,Description String,Tile 1
40:00.0,28.543,Time Zone,GMT-600 Minutes TZ set on Launch
50:00.0,28.543,,
00:00.0,28.543,,
10:00.0,28.543,,
20:00.0,28.543,,
30:00.0,28.543,,
40:00.0,28.543,,
50:00.0,28.543,,
00:00.0,28.543,,
10:00.0,28.518,,
20:00.0,28.543,,
30:00.0,28.543,,
40:00.0,28.518,,
50:00.0,28.543,,
00:00.0,28.543,,
10:00.0,28.543,,
20:00.0,28.518,,
30:00.0,28.518,,
40:00.0,28.543,,
50:00.0,28.543,,
00:00.0,28.543,,
10:00.0,28.543,,
20:00.0,28.543,,
30:00.0,28.543,,
40:00.0,28.543,,
50:00.0,28.543,,
00:00.0,28.518,,
10:00.0,28.518,,
20:00.0,28.518,,
30:00.0,28.518,,
40:00.0,28.518,,
50:00.0,28.518,,
00:00.0,28.518,,
10:00.0,28.518,,
20:00.0,28.518,,
30:00.0,28.518,,
40:00.0,28.518,,
50:00.0,28.518,,
00:00.0,28.468,,
10:00.0,28.419,,
20:00.0,28.394,,
30:00.0,28.369,,
40:00.0,28.345,,
50:00.0,28.345,,
00:00.0,28.345,,
10:00.0,28.394,,
20:00.0,28.419,,
30:00.0,28.468,,
40:00.0,28.493,,
50:00.0,28.518,,
00:00.0,28.568,,
10:00.0,28.593,,
20:00.0,28.568,,
30:00.0,28.568,,
40:00.0,28.617,,
50:00.0,28.642,,
00:00.0,28.568,,
10:00.0,28.667,,
20:00.0,28.742,,
30:00.0,28.766,,
40:00.0,28.742,,
50:00.0,28.99,,
00:00.0,28.866,,
10:00.0,28.766,,
20:00.0,28.742,,
30:00.0,28.766,,
40:00.0,28.841,,
50:00.0,29.015,,
00:00.0,29.065,,
10:00.0,28.99,,
20:00.0,29.04,,
30:00.0,29.09,,
40:00.0,29.04,,
50:00.0,28.965,,
00:00.0,28.941,,
10:00.0,28.916,,
20:00.0,28.965,,
30:00.0,29.015,,
40:00.0,28.866,,
50:00.0,29.34,,
00:00.0,29.065,,
10:00.0,28.965,,
20:00.0,29.065,,
30:00.0,29.414,,
40:00.0,29.315,,
50:00.0,29.34,,
00:00.0,29.215,,
10:00.0,29.439,,
20:00.0,29.265,,
30:00.0,29.565,,
40:00.0,29.265,,
50:00.0,29.464,,
00:00.0,29.365,,
10:00.0,29.49,,
20:00.0,29.439,,
30:00.0,29.439,,
40:00.0,29.19,,
50:00.0,29.265,,
00:00.0,29.14,,
10:00.0,29.09,,
20:00.0,29.09,,
30:00.0,28.965,,
40:00.0,28.941,,
50:00.0,28.99,,
00:00.0,28.891,,
10:00.0,29.015,,
20:00.0,28.965,,
30:00.0,28.941,,
40:00.0,28.891,,
50:00.0,28.866,,
00:00.0,28.816,,
10:00.0,28.766,,
20:00.0,28.742,,
30:00.0,28.742,,
40:00.0,28.742,,
50:00.0,28.717,,
00:00.0,28.717,,
10:00.0,28.717,,
20:00.0,28.717,,
30:00.0,28.692,,
40:00.0,28.692,,
50:00.0,28.717,,
00:00.0,28.717,,
10:00.0,28.692,,
20:00.0,28.692,,
30:00.0,28.692,,
40:00.0,28.692,,
50:00.0,28.692,,
00:00.0,28.667,,
10:00.0,28.667,,
20:00.0,28.667,,
30:00.0,28.667,,
40:00.0,28.667,,
50:00.0,28.667,,
00:00.0,28.642,,
10:00.0,28.642,,
20:00.0,28.642,,
30:00.0,28.617,,
40:00.0,28.617,,
50:00.0,28.617,,
00:00.0,28.617,,
10:00.0,28.593,,
20:00.0,28.617,,
30:00.0,28.617,,
40:00.0,28.593,,
50:00.0,28.593,,
00:00.0,28.593,,
10:00.0,28.593,,
20:00.0,28.568,,
30:00.0,28.568,,
40:00.0,28.568,,
50:00.0,28.568,,
00:00.0,28.593,,
10:00.0,28.593,,
20:00.0,28.593,,
30:00.0,28.593,,
40:00.0,28.593,,
50:00.0,28.593,,
00:00.0,28.593,,
10:00.0,28.593,,
20:00.0,28.593,,
30:00.0,28.593,,
40:00.0,28.568,,
50:00.0,28.568,,
00:00.0,28.568,,
10:00.0,28.543,,
20:00.0,28.543,,
30:00.0,28.543,,
40:00.0,28.518,,
50:00.0,28.518,,
00:00.0,28.518,,
10:00.0,28.518,,
20:00.0,28.518,,
30:00.0,28.518,,
40:00.0,28.518,,
50:00.0,28.518,,
00:00.0,28.518,,
10:00.0,28.468,,
20:00.0,28.444,,
30:00.0,28.468,,
40:00.0,28.493,,
50:00.0,28.468,,
00:00.0,28.468,,
10:00.0,28.493,,
20:00.0,28.493,,
30:00.0,28.493,,
40:00.0,28.493,,
50:00.0,28.493,,
00:00.0,28.493,,
10:00.0,28.518,,
20:00.0,28.518,,
30:00.0,28.543,,
40:00.0,28.617,,
50:00.0,28.667,,
00:00.0,28.717,,
10:00.0,28.742,,
20:00.0,28.742,,
30:00.0,28.717,,
40:00.0,28.742,,
50:00.0,28.791,,
00:00.0,29.09,,
10:00.0,28.891,,
20:00.0,29.09,,
30:00.0,29.29,,
40:00.0,29.165,,
50:00.0,29.115,,
00:00.0,29.215,,
10:00.0,29.215,,
20:00.0,29.115,,
30:00.0,28.916,,
40:00.0,28.916,,
50:00.0,28.841,,
00:00.0,28.816,,
10:00.0,28.742,,
20:00.0,28.841,,
30:00.0,28.841,,
40:00.0,28.642,,
50:00.0,28.617,,
00:00.0,28.617,,
10:00.0,28.593,,
20:00.0,28.593,,
30:00.0,28.617,,
40:00.0,28.642,,
50:00.0,28.866,,
00:00.0,28.916,,
10:00.0,28.941,,
20:00.0,28.891,,
30:00.0,28.941,,
40:00.0,28.941,,
50:00.0,28.916,,
00:00.0,28.891,,
10:00.0,28.916,,
20:00.0,28.99,,
30:00.0,29.115,,
40:00.0,29.065,,
50:00.0,29.015,,
00:00.0,28.941,,
10:00.0,28.941,,
20:00.0,28.941,,
30:00.0,28.965,,
40:00.0,28.99,,
50:00.0,29.115,,
00:00.0,29.165,,
10:00.0,29.09,,
20:00.0,29.04,,
30:00.0,29.065,,
40:00.0,29.19,,
50:00.0,29.19,,
00:00.0,29.29,,
10:00.0,28.99,,
20:00.0,28.941,,
30:00.0,28.891,,
40:00.0,28.841,,
50:00.0,28.841,,
00:00.0,28.791,,
10:00.0,28.742,,
20:00.0,28.717,,
30:00.0,28.692,,
40:00.0,28.692,,
50:00.0,28.692,,
00:00.0,28.667,,
10:00.0,28.667,,
20:00.0,28.642,,
30:00.0,28.642,,
40:00.0,28.617,,
50:00.0,28.617,,
00:00.0,28.617,,
10:00.0,28.617,,
20:00.0,28.617,,
30:00.0,28.617,,
40:00.0,28.617,,
50:00.0,28.617,,
00:00.0,28.617,,
10:00.0,28.593,,
20:00.0,28.617,,
30:00.0,28.642,,
40:00.0,28.617,,
50:00.0,28.617,,
00:00.0,28.617,,
10:00.0,28.617,,
20:00.0,28.617,,
30:00.0,28.617,,
40:00.0,28.617,,
50:00.0,28.617,,
00:00.0,28.617,,
10:00.0,28.617,,
20:00.0,28.617,,
30:00.0,28.617,,
40:00.0,28.617,,
50:00.0,28.617,,
00:00.0,28.593,,
10:00.0,28.593,,
20:00.0,28.593,,
30:00.0,28.593,,
40:00.0,28.593,,
50:00.0,28.593,,
00:00.0,28.593,,
10:00.0,28.593,,
20:00.0,28.568,,
30:00.0,28.568,,
40:00.0,28.593,,
50:00.0,28.568,,
00:00.0,28.568,,
10:00.0,28.568,,
20:00.0,28.568,,
30:00.0,28.568,,
40:00.0,28.568,,
50:00.0,28.568,,
00:00.0,28.543,,
10:00.0,28.568,,
20:00.0,28.568,,
30:00.0,28.543,,
40:00.0,28.543,,
50:00.0,28.543,,
00:00.0,28.543,,
10:00.0,28.543,,
20:00.0,28.543,,
30:00.0,28.543,,
40:00.0,28.543,,
50:00.0,28.543,,
00:00.0,28.518,,
10:00.0,28.543,,
20:00.0,28.518,,
30:00.0,28.518,,
40:00.0,28.518,,
50:00.0,28.518,,
00:00.0,28.518,,
10:00.0,28.518,,
20:00.0,28.518,,
30:00.0,28.518,,
40:00.0,28.493,,
50:00.0,28.468,,
00:00.0,28.468,,
10:00.0,28.468,,
20:00.0,28.468,,
30:00.0,28.493,,
40:00.0,28.518,,
50:00.0,28.568,,
00:00.0,28.543,,
10:00.0,28.617,,
20:00.0,28.816,,
30:00.0,28.891,,
40:00.0,28.791,,
50:00.0,28.841,,
00:00.0,28.717,,
10:00.0,28.766,,
20:00.0,29.065,,
30:00.0,29.115,,
40:00.0,28.841,,
50:00.0,29.165,,
00:00.0,29.215,,
10:00.0,29.115,,
20:00.0,29.315,,
30:00.0,29.365,,
40:00.0,29.439,,
50:00.0,29.464,,
00:00.0,29.49,,
10:00.0,29.165,,
20:00.0,29.315,,
30:00.0,29.19,,
40:00.0,29.515,,
50:00.0,29.49,,
00:00.0,29.215,,
10:00.0,29.54,,
20:00.0,29.389,,
30:00.0,29.19,,
40:00.0,29.49,,
50:00.0,29.315,,
00:00.0,29.315,,
10:00.0,29.34,,
20:00.0,29.464,,
30:00.0,29.315,,
40:00.0,29.29,,
50:00.0,29.24,,
00:00.0,29.414,,
10:00.0,29.389,,
20:00.0,29.464,,
30:00.0,29.215,,
40:00.0,29.115,,
50:00.0,29.29,,
00:00.0,29.315,,
10:00.0,29.065,,
20:00.0,29.09,,
30:00.0,28.916,,
40:00.0,28.916,,
50:00.0,28.891,,
00:00.0,28.816,,
10:00.0,28.841,,
20:00.0,28.816,,
30:00.0,28.841,,
40:00.0,29.115,,
50:00.0,29.14,,
00:00.0,29.09,,
10:00.0,29.04,,
20:00.0,28.99,,
30:00.0,28.965,,
40:00.0,28.965,,
50:00.0,28.941,,
00:00.0,28.916,,
10:00.0,28.866,,
20:00.0,28.791,,
30:00.0,28.766,,
40:00.0,28.742,,
50:00.0,28.742,,
00:00.0,28.742,,
10:00.0,28.742,,
20:00.0,28.742,,
30:00.0,28.742,,
40:00.0,28.717,,
50:00.0,28.717,,
00:00.0,28.717,,
10:00.0,28.667,,
20:00.0,28.642,,
30:00.0,28.617,,
40:00.0,28.617,,
50:00.0,28.642,,
00:00.0,28.642,,
10:00.0,28.642,,
20:00.0,28.642,,
30:00.0,28.642,,
40:00.0,28.642,,
50:00.0,28.667,,
00:00.0,28.642,,
10:00.0,28.642,,
20:00.0,28.642,,
30:00.0,28.642,,
40:00.0,28.642,,
50:00.0,28.617,,
00:00.0,28.617,,
10:00.0,28.642,,
20:00.0,28.642,,
30:00.0,28.642,,
40:00.0,28.642,,
50:00.0,28.642,,
00:00.0,28.617,,
10:00.0,28.617,,
20:00.0,28.593,,
30:00.0,28.617,,
40:00.0,28.617,,
50:00.0,28.617,,
00:00.0,28.617,,
10:00.0,28.593,,
20:00.0,28.593,,
30:00.0,28.593,,
40:00.0,28.593,,
50:00.0,28.568,,
00:00.0,28.593,,
10:00.0,28.568,,
20:00.0,28.568,,
30:00.0,28.568,,
40:00.0,28.568,,
50:00.0,28.543,,
00:00.0,28.568,,
10:00.0,28.568,,
20:00.0,28.568,,
30:00.0,28.543,,
40:00.0,28.543,,
50:00.0,28.568,,
00:00.0,28.543,,
10:00.0,28.568,,
20:00.0,28.568,,
30:00.0,28.543,,
40:00.0,28.543,,
50:00.0,28.543,,
00:00.0,28.543,,
10:00.0,28.543,,
20:00.0,28.543,,
30:00.0,28.543,,
40:00.0,28.543,,
50:00.0,28.543,,
00:00.0,28.543,,
10:00.0,28.543,,
20:00.0,28.543,,
30:00.0,28.543,,
40:00.0,28.543,,
50:00.0,28.543,,
00:00.0,28.568,,
10:00.0,28.568,,
20:00.0,28.568,,
30:00.0,28.593,,
40:00.0,28.617,,
50:00.0,28.692,,
00:00.0,28.667,,
10:00.0,28.667,,
20:00.0,28.692,,
30:00.0,28.717,,
40:00.0,28.717,,
50:00.0,28.742,,
00:00.0,28.816,,
10:00.0,28.866,,
20:00.0,29.215,,
30:00.0,29.14,,
40:00.0,29.14,,
50:00.0,29.19,,
00:00.0,29.19,,
